mls_id,address,city,bedrooms,washrooms,parking,type,price,lat,lng,Elementary,Intermediate,Secondary
C12705406,30 Case Ootes Drive,Toronto,4,5,1,Detached,1030000,43.7228733,-79.3084398,O'Connor PS,Gordon A Brown MS,Victoria Park CI
C12705402,1608 219 Fort York Boulevard,Toronto,2,1,1,Condo,688888,43.6367509,-79.4055001,The Waterfront School,The Waterfront School,Parkdale CI
C12705392,602 169 Fort York Boulevard,Toronto,3,2,1,Condo,990000,43.6407041,-79.3935507,The Waterfront School,The Waterfront School,Parkdale CI
E12705370,708 630 Queen Street E,Toronto,2,2,1,Condo,849000,43.6613587,-79.3393085,Dundas Jr PS,Queen Alexandra MS,Riverdale CI
C12705340,28 Shannon Street,Toronto,7,6,3,Detached,1987000,43.6533238,-79.423742,Ossington-Old Orchard Jr PS,Alexander M G Ave Jr & Sr PS,Bloor CI
C12705338,1805 3300 Don Mills Road,Toronto,3,2,1,Condo,538888,43.7369236,-79.3429478,Crestview PS,Don Valley MS,Georges Vanier SS
E12705306,43 30 Liben Way,Toronto,2,2,1,Condo,599900,43.8054421,-79.2246257,Berner Trail Jr PS,Dr Marion Hilliard Sr PS,Lester B Pearson CI
W12705302,1322 9 Mabelle Avenue,Toronto,1,1,1,Condo,495000,43.6452774,-79.5279048,Islington JMS,Islington JMS,Etobicoke CI
E12705284,912 90 Glen Everest Road,Toronto,2,2,1,Condo,299000,43.6984761,-79.2554318,Cliffside PS,Cliffside PS,Birchmount Park CI
W12705250,223 293 The Kingsway,Toronto,2,2,1,Condo,764900,43.6480098,-79.5091563,Humber Valley Village JMS,Humber Valley Village JMS,Etobicoke CI
E12705240,2132 3 Greystone Walk Drive,Toronto,1,1,1,Condo,395500,43.7248718,-79.2523201,Walter Perry Jr PS,Robert Service Sr PS,RH King Academy */ D & M Thomson CI
C12705188,1704 105 George Street,Toronto,2,2,1,Condo,645000,43.6652923,-79.3984012,HJ Alexander CS,CR Marchant MS,Weston CI
C12705150,1003 8 Manor Road W,Toronto,3,3,1,Condo,2870000,43.7022229,-79.3991036,Oriole Park Jr PS,Hodgson MS,Northern SS
W12705086,506 2154 Dundas Street W,Toronto,1,1,0,Condo,699999,43.6533249,-79.4500793,Howard Jr PS,Fern Avenue Jr & Sr PS,Parkdale CI
W12705042,1025 165 Legion Road N,Toronto,1,1,1,Condo,449800,43.6240098,-79.4884115,George R Gauld JS,John English JMS,Lakeshore CI
C12705070,410 8 Manor Road W,Toronto,2,1,1,Condo,1550000,43.7022229,-79.3991036,Oriole Park Jr PS,Hodgson MS,Northern SS
C12705066,S202 120 Bayview Avenue,Toronto,4,3,1,Condo,1129000,43.6538223,-79.3544618,Bedford Park PS,Bedford Park PS,York Mills CI */ Northern SS
C12705016,228 Deloraine Avenue,Toronto,5,5,3,Detached,3278000,43.7322847,-79.4131253,John Wanless Jr PS,Glenview Sr PS,Lawrence Park CI
W12704986,502 2662 Bloor Street W,Toronto,2,2,1,Condo,989000,43.6495867,-79.494444,Lambton-Kingsway JMS,Lambton-Kingsway JMS,Etobicoke CI
C12704946,108 701 Sheppard Avenue W,Toronto,1,1,1,Condo,449500,43.7608487,-79.4121268,Dublin Heights E & MS,Dublin Heights E & MS,William L Mackenzie CI
C12704918,1709 55 Ontario Street,Toronto,2,1,0,Condo,574900,43.6627629,-79.3701198,Market Lane Jr & Sr PS,Market Lane Jr & Sr PS,Jarvis CI
W12704868,814 1 De Boers Drive,Toronto,1,1,1,Condo,499900,43.7514106,-79.464997,Dublin Heights E & MS,Dublin Heights E & MS,William L Mackenzie CI
C12704782,PH-F 7 Broadway Avenue,Toronto,1,1,0,Condo,433200,43.7114776,-79.3895027,Eglinton Jr PS,Hodgson MS,North Toronto CI
W12704768,123 Jeffcoat Drive,Toronto,4,2,3,Detached,899900,43.7209592,-79.577477,West Humber JMS,West Humber JMS,West Humber CI
C12704694,410 10 DEERLICK Court,Toronto,3,2,2,Condo,639000,43.7591288,-79.3312274,Fenside PS,Donview MHWA,George S Henry Academy
C12704688,18 Carscadden Drive,Toronto,5,4,3,Detached,1695000,43.7656097,-79.4421279,Yorkview PS,Willowdale MS,Northview Heights SS
E12704568,622 11753 Sheppard Avenue E,Toronto,3,2,1,Condo,599900,43.799314,-79.1484873,Rouge Valley PS,Rouge Valley PS,Sir Oliver Mowat CI
W12704576,422 36 Zorra Street,Toronto,3,2,1,Condo,674500,43.6200312,-79.5215363,Castlebar JS,Norseman JMS,Etobicoke CI
C12704548,2506 15 Greenview Avenue,Toronto,3,2,1,Condo,799000,43.7800387,-79.4187248,RJ Lang E & MS,RJ Lang E & MS,Northview Heights SS
C12704538,2 Tangmere Road,Toronto,5,2,4,Detached,1448888,43.7362536,-79.3561407,Rippleton PS,St Andrew's MS */ Windfields MS,York Mills CI
C12704524,38 Foxbar Road,Toronto,4,4,0,Detached,1895000,43.6857502,-79.3993724,Brown Jr PS,Deer Park Jr & Sr PS,Jarvis CI
C12704500,366 Hounslow Avenue,Toronto,7,5,8,Detached,2198000,43.7719064,-79.4313666,Yorkview PS,Willowdale MS,Northview Heights SS
C12704488,83 Hillmount Avenue,Toronto,5,5,6,Detached,3895000,43.7102097,-79.4331824,Glen Park PS,Lawrence Heights MS */ Ledbury Park E & MS,John Polanyi CI
E12704406,9 Bergen Road,Toronto,4,2,4,Detached,859900,43.7528753,-79.2857022,Dorset Park PS,Dorset Park PS,Winston Churchill CI
C12704292,2111 77 Harbour Square,Toronto,1,1,1,Condo,729000,43.6398197,-79.3794609,Island Public Natural Science School,The Waterfront School,Jarvis CI
C12704272,501 50 Lynn Williams Street,Toronto,2,2,1,Condo,759000,43.6390631,-79.4156278,Dr Rita Cox – Kina Minagok PS,Dr Rita Cox – Kina Minagok PS,Parkdale CI
W12704260,1512 234 Albion Road,Toronto,2,1,1,Condo,399999,43.7211485,-79.5441591,Oakridge Jr PS,Samuel Hearne MS,Birchmount Park CI
C12704212,85 Snowdon Avenue,Toronto,4,4,3,Detached,2718888,43.7316745,-79.4005827,Bedford Park PS,Bedford Park PS,Lawrence Park CI
C12704200,342 1030 King Street W,Toronto,2,2,0,Condo,698800,43.6416504,-79.4159325,Givins Shaw Jr PS,Alexander M G Ave Jr & Sr PS,Parkdale CI
W12704130,B416 60 Annie Craig Drive S,Toronto,1,1,1,Condo,399999,43.6263234,-79.4868598,Etienne Brule JS,Park Lawn JMS,Lakeshore CI
C12704108,487 Coldstream Avenue,Toronto,6,7,4,Detached,4290998,43.7151699,-79.4281348,Ledbury Park E & MS,Ledbury Park E & MS,John Polanyi CI
C12704104,1220 100 Harrison Garden Boulevard,Toronto,2,2,1,Condo,679000,43.7569574,-79.4043424,Avondale PS,Avondale PS,Georges Vanier SS
C12704090,811 260 Doris Avenue,Toronto,1,1,1,Condo,499000,43.7623454,-79.408504,McKee PS,Cummer Valley MS,Earl Haig SS
