category,name,grade,address,website,rating,rank,notes,lat,lng
elementary,Adam Beck Junior Public School,JK-06,"400 Scarborough Rd, Toronto, ON",http://schools.tdsb.on.ca/adambeck,7.1,808/3021,,43.6833666,-79.2889715
elementary,Albion Heights Junior Middle School,JK-08,"45 Lynmont Road, Etobicoke, ON",http://schools.tdsb.on.ca/albionheights,4.1,2535/3021,,43.7312614,-79.5938031
elementary,Alexander Muir/Gladstone Ave Jr and Sr Public School,JK-08,"108 Gladstone Ave, Toronto",n/a,7,888/3021,,43.6464573,-79.4293902
elementary,Allenby Junior Public School,JK-06,"391 St Clements Ave, Toronto",http://schools.tdsb.on.ca/allenby,9,91/3021,,43.7096422,-79.4120585
elementary,Annette Street Jr and Sr Public School,JK-08,"265 Annette Street, Toronto",http://www.annettestreetpublicschool.weebly.com/,7.6,516/3021,,43.6613668,-79.4731219
elementary,Balmy Beach Community School,JK-06,"14 Pine Ave, Toronto",http://schools.tdsb.on.ca/balmybeach/,8.5,175/3021,,43.6764089,-79.2900597
elementary,Beaches Alternative Jr School,JK-06,"50 Swanwick Ave, Toronto",http://schools.tdsb.on.ca/beachesalternative,N/A,N/A,,43.6828723,-79.2989559
elementary,Beaumonde Heights Jr Middle School,JK-08,"70 Monterrey Drive, Etobicoke, ON",http://schools.tdsb.on.ca/beaumondeheights/,6.2,1444/3021,,43.7430679,-79.5748696
elementary,Bedford Park Public School,JK-08,"81 Ranleigh Ave, Toronto",http://bedfordpark.ca/,9.1,77/3021,,43.7275030,-79.4000615
elementary,Bennington Heights Elementary School,JK-06,"76 Bennington Heights, East York",http://schoolweb.tdsb.on.ca/benningtonheights/Home.aspx,9.0,91/3021,,43.6950078,-79.3710353
elementary,Bessborough Drive Elementary/Middle School,JK-08,"211 Bessborough Drive, East York, ON",http://schoolweb.tdsb.on.ca/bessborough/Home.aspx,7.3,687/3021,,43.7067783,-79.3702703
elementary,Beverley School,JK-08,"64 Baldwin St, Toronto",http://schools.tdsb.on.ca/beverley/,n/a,n/a,,43.6558169,-79.3957299
elementary,Blake Street Jr Public School,JK-06,"21 Boultbee Ave, Toronto",http://schoolweb.tdsb.on.ca/blakestreet/Home.aspx,6.2,1444/3021,,43.6718404,-79.3382205
elementary,Bloordale Middle School,06-08,"10 Toledo Rd, Etobicoke, ON",http://schoolweb.tdsb.on.ca/bloordale/Home.aspx,n/a,n/a,,43.6399318,-79.5727522
elementary,Bloorlea Middle School,06-08,"4050 Bloor St West, Etobicoke, ON",http://schoolweb.tdsb.on.ca/bloorlea/Home.aspx,n/a,n/a,,43.6378453,-79.5553792
elementary,Blythwood Jr Public School,JK-06,"2 Strathgowan Cres, Toronto",n/a,8.6,150/3021,,43.7199299,-79.3899443
elementary,Boys Leadership Academ at the Elms,04-06,"45 Golfdown Dr, Etobicoke",n/a,n/a,n/a,,43.7217699,-79.5521733
